Agent_Age,Agent_Rating,Distance_km,Pickup_Lag_min,Hour,DayOfWeek,Weather_enc,Traffic_enc,Vehicle_enc,Area_enc,Category_enc,Delivery_Time
25,4.0,6.116971669682334,1853285.0,12.0,5.0,3,0,0,1,8,170
29,4.5,17.07559440107296,1851855.0,18.0,6.0,0,3,2,1,9,75
27,5.0,4.470286489434607,1838885.0,20.0,1.0,1,1,0,0,3,90
35,4.3,13.68204452608078,1873450.0,23.0,5.0,3,2,1,1,1,190
32,4.0,13.973182653917394,1867695.0,21.0,2.0,5,1,0,1,3,235
23,4.8,16.85361872985359,1843210.0,23.0,5.0,5,2,2,0,8,60
31,4.8,4.674172124263269,1844655.0,22.0,4.0,2,2,0,1,8,130
36,4.1,7.60161677107109,1883525.0,22.0,5.0,1,2,0,0,3,110
26,4.3,7.720324413179964,1915210.0,23.0,4.0,2,2,0,0,8,105
38,4.9,6.1756362610169315,1915205.0,13.0,4.0,3,0,1,0,6,125
32,3.5,17.29786575291325,1879210.0,21.0,1.0,1,1,1,0,10,35
32,4.6,19.914686965545187,1843210.0,22.0,5.0,3,2,1,1,2,150
33,4.9,10.724517748046026,1879215.0,18.0,1.0,0,3,0,1,8,110
20,4.7,6.127835452844326,1841770.0,14.0,6.0,5,0,1,0,4,50
20,4.8,1.5203573134022046,1847530.0,11.0,2.0,2,2,1,1,12,95
35,5.0,3.0734537599377685,1844650.0,9.0,4.0,0,2,1,0,0,55
26,4.9,3.1051314775458967,1850415.0,8.0,0.0,1,2,1,1,12,55
22,4.8,10.86742683448048,1864810.0,23.0,4.0,4,2,0,1,11,140
35,4.3,10.865464603780389,1870565.0,17.0,0.0,3,3,0,1,10,33
37,4.7,13.682516298592299,1840325.0,19.0,0.0,2,1,0,1,0,260
28,4.6,16.826241648658115,1879215.0,19.0,1.0,1,1,1,1,3,110
37,4.9,3.0272369309754272,1912325.0,10.0,6.0,4,2,1,0,10,16
23,4.9,9.175193844437826,1856165.0,21.0,3.0,0,1,2,1,7,55
27,4.9,9.315069177421892,1863375.0,19.0,5.0,5,3,1,1,5,125
37,4.8,6.209021101535612,1877770.0,16.0,2.0,3,3,0,0,8,130
33,5.0,1.5203447277401048,1863370.0,11.0,5.0,0,0,1,1,6,90
31,4.9,6.037225392443855,1841765.0,15.0,6.0,4,3,0,1,11,80
31,4.8,17.078665498349437,1854730.0,22.0,4.0,1,2,1,1,3,115
25,5.0,4.717601092054723,1912335.0,22.0,6.0,3,2,0,1,13,75
28,4.8,12.464329297636581,1840330.0,20.0,0.0,2,1,0,1,12,180
31,4.7,9.121425981981247,1853295.0,22.0,5.0,3,2,0,1,0,80
24,4.7,14.02323208308448,1876325.0,17.0,3.0,0,3,0,0,5,95
39,4.6,13.392612276663236,1910895.0,22.0,0.0,0,2,0,1,8,135
39,4.2,12.580267822400963,1887855.0,20.0,2.0,4,1,1,2,7,245
32,4.5,1.4899271643865588,1853295.0,9.0,5.0,5,2,1,3,6,100
36,4.7,9.435201537430714,1872005.0,20.0,6.0,3,1,0,1,2,150
25,4.8,11.916582838288104,1848970.0,22.0,1.0,2,2,1,0,3,90
33,4.9,4.663566689152146,1847525.0,21.0,2.0,0,1,1,1,11,110
30,4.4,10.641157729337541,1873455.0,22.0,5.0,3,2,1,1,6,170
33,5.0,16.818368923732613,1846085.0,23.0,3.0,2,2,0,0,8,120
36,4.9,6.128551257919138,1866255.0,15.0,3.0,4,3,1,1,14,85
21,4.8,2.996250036665907,1909450.0,10.0,1.0,2,2,2,1,6,70
39,4.9,7.342175722857793,1909445.0,20.0,1.0,1,1,0,1,15,150
23,4.8,3.145067434621583,1880650.0,10.0,0.0,1,2,1,1,10,15
35,4.8,6.29013467763468,1850410.0,15.0,0.0,4,3,1,0,7,80
39,4.6,13.972123977178622,1867685.0,20.0,2.0,3,1,1,1,13,180
22,4.7,6.081440797008078,1866245.0,12.0,3.0,0,0,1,0,2,90
32,4.6,6.080891507842322,1869135.0,15.0,1.0,4,3,1,1,9,85
24,4.8,12.580267822400963,1854725.0,22.0,4.0,2,2,0,0,7,75
29,4.7,3.145067434621583,1877770.0,10.0,2.0,4,2,0,1,11,85
26,4.7,9.220373067021216,1882095.0,23.0,5.0,4,2,0,1,6,50
20,4.5,7.8626681674103684,1915215.0,21.0,4.0,4,1,0,1,2,135
35,4.1,13.96960642768458,1873455.0,20.0,5.0,2,1,0,1,14,185
39,4.6,13.973206773137713,1848970.0,20.0,1.0,4,1,1,1,1,220
34,4.7,6.058853851669116,1863370.0,12.0,5.0,5,0,2,1,5,140
27,4.7,17.07799287216204,1876335.0,21.0,3.0,3,1,1,1,7,210
30,4.8,17.29786575291325,1908015.0,23.0,2.0,5,2,0,1,2,125
25,4.4,17.072871906399556,1851845.0,18.0,6.0,3,3,1,1,8,195
25,4.7,16.818368923732613,1851845.0,18.0,6.0,1,3,0,0,1,100
30,5.0,2.979502850576494,1856165.0,11.0,3.0,1,0,0,1,12,155
24,4.6,9.22086597503784,1877770.0,20.0,2.0,1,1,0,1,13,65
39,4.8,7.661331134220826,1886415.0,21.0,3.0,1,1,0,1,13,140
25,4.8,6.1755160934059985,1909445.0,12.0,1.0,5,0,1,0,5,95
37,4.6,12.209856560906529,1905135.0,23.0,4.0,4,2,0,0,12,210
24,5.0,1.5526813140972442,1889285.0,10.0,1.0,4,2,0,1,1,115
25,4.2,16.902806732498032,1857615.0,21.0,2.0,1,1,0,1,3,195
32,4.6,1.5093577696337532,1844650.0,10.0,4.0,1,2,0,1,9,125
34,4.7,6048.631240095336,1908005.0,23.0,2.0,2,2,1,1,0,75
38,4.9,3.0251186390184004,1874895.0,8.0,4.0,3,2,1,0,11,75
36,4.8,13.407092693002484,1870565.0,17.0,0.0,0,3,2,1,13,75
25,5.0,16.721976048741215,1864815.0,20.0,4.0,1,1,0,1,1,75
29,5.0,7.772343594464245,1844645.0,22.0,4.0,0,2,0,1,9,90
36,4.7,13.773737657079298,1840330.0,23.0,0.0,2,2,2,1,0,145
33,4.7,7.790158927084966,1874885.0,23.0,4.0,4,2,0,1,5,100
36,4.4,6.217834398578936,1872015.0,12.0,6.0,3,0,1,1,15,195
21,4.8,16.852834881460105,1884975.0,23.0,4.0,5,2,0,1,2,95
25,4.8,4.610035602260694,1851855.0,23.0,5.0,3,2,1,0,10,19
23,4.8,19.879870677373706,1867690.0,22.0,2.0,5,2,0,1,1,85
25,4.6,1.5580833985948437,1889295.0,10.0,1.0,1,2,0,0,11,75
24,4.3,3.025332706173566,1869135.0,8.0,1.0,2,2,0,0,7,95
27,4.6,13.97194896017493,1884975.0,21.0,4.0,2,1,0,1,7,145
23,4.8,16.830905551931956,1864805.0,22.0,4.0,3,2,1,0,8,110
21,4.3,20.207797933358158,1857610.0,20.0,2.0,4,1,1,1,11,210
27,4.7,3.040641621538495,1869135.0,10.0,1.0,2,2,1,0,2,60
32,4.2,20.253785359470783,1879210.0,20.0,1.0,3,1,0,1,15,190
25,4.6,16.72129600980331,1876335.0,23.0,3.0,0,2,0,1,9,115
39,4.7,2.9845507897866907,1915215.0,10.0,4.0,3,2,1,1,11,75
27,4.6,12.16145053143676,1870565.0,23.0,0.0,0,2,0,1,6,120
39,3.8,16.822155609317257,1867685.0,19.0,2.0,5,1,0,1,11,185
31,4.8,7.762556904358444,1889290.0,22.0,1.0,2,2,1,1,2,120
31,4.8,9.055855161965923,1889285.0,23.0,1.0,0,2,2,1,12,65
20,4.8,1.5545816630911855,1847535.0,9.0,2.0,3,2,0,3,2,80
36,4.9,12.074047498027575,1887850.0,18.0,2.0,3,3,0,0,3,210
20,4.9,13.580373876280879,1861930.0,22.0,6.0,2,2,0,1,4,85
24,4.6,4.469620875558295,1841775.0,20.0,6.0,3,1,0,1,8,125
39,4.2,16.634870118211836,1848965.0,18.0,1.0,4,3,1,1,0,195
37,4.8,6.232139486668102,1866250.0,14.0,3.0,0,0,1,1,6,90
32,4.9,6.209021101535612,1866250.0,16.0,3.0,2,3,0,1,11,140
22,4.5,7.460830127736633,1909455.0,22.0,1.0,2,2,1,1,15,90
23,4.9,20.253785359470783,1864815.0,0.0,4.0,5,2,1,1,0,90
33,4.7,16.600975700594585,1879210.0,21.0,1.0,4,1,1,1,7,245
23,4.7,4.540321372891478,1906570.0,23.0,3.0,0,2,0,1,5,75
27,4.6,12.421212735966003,1846085.0,23.0,3.0,0,2,0,1,14,105
34,4.7,6.1187118466897275,1889295.0,14.0,1.0,0,0,1,1,4,115
26,5.0,1.520431947999248,1841770.0,10.0,6.0,4,2,1,0,2,55
31,4.6,9.087972744661085,1856175.0,21.0,3.0,3,1,0,1,5,125
32,4.9,3.0644871057616707,1880645.0,8.0,0.0,4,2,0,1,11,90
27,4.7,3.025144329113595,1877765.0,9.0,2.0,3,2,0,1,6,70
21,4.9,13.973206773137713,1873455.0,17.0,5.0,5,3,0,1,14,180
28,4.8,7.763102784727143,1856165.0,23.0,3.0,4,2,0,1,12,90
24,4.9,6.29013467763468,1847535.0,16.0,2.0,4,3,1,0,4,85
33,4.4,1.5368503798521727,1883530.0,8.0,5.0,2,2,0,1,1,140
20,4.6,13.97317756157655,1864815.0,20.0,4.0,4,1,0,1,13,220
31,4.3,9.348403522662325,1872015.0,23.0,6.0,5,2,0,1,4,100
36,5.0,10.602467987619507,1846090.0,19.0,3.0,4,1,0,1,6,175
31,4.2,17.076258901183188,1857610.0,21.0,2.0,2,1,0,1,10,50
39,4.1,9.22083460710881,1856165.0,21.0,3.0,1,1,1,1,1,170
29,4.6,12.161605446010208,1873455.0,19.0,5.0,0,1,2,1,9,85
29,4.6,6.080882967594328,1886410.0,14.0,3.0,2,0,1,0,7,115
37,4.9,4.67414369897644,1877770.0,18.0,2.0,4,3,0,1,11,135
33,4.7,6.29013467763468,1866250.0,12.0,3.0,3,0,0,0,15,130
31,3.9,10.709003371535417,1864810.0,23.0,4.0,3,2,1,1,14,175
37,4.6,6.29013467763468,1863365.0,12.0,5.0,5,0,0,0,9,205
26,4.4,9.31488473286169,1880650.0,23.0,0.0,2,2,0,3,4,115
24,4.6,17.137482577838597,1884970.0,17.0,4.0,1,3,0,1,0,150
23,4.8,3.145067434621583,1841770.0,10.0,6.0,5,2,1,1,14,95
36,4.9,1.572533729286321,1874895.0,9.0,4.0,5,2,1,1,1,135
39,4.8,6.21800234869445,1844655.0,12.0,4.0,3,0,0,1,3,140
20,4.7,12.463883024166657,1861930.0,17.0,6.0,2,3,0,1,4,120
20,5.0,20.20658151050797,1846095.0,19.0,3.0,3,1,0,0,2,180
29,4.3,9.081116432461174,1912325.0,23.0,6.0,2,2,0,1,3,140
36,4.8,17.138077427627866,1848965.0,18.0,1.0,4,3,0,0,5,155
36,4.0,13.631343698142908,1867685.0,20.0,2.0,0,1,0,1,15,220
22,4.8,12.074063090452917,1870575.0,22.0,0.0,5,2,1,1,3,75
38,4.4,10.723264172167632,1846085.0,17.0,3.0,5,3,0,1,4,165
39,4.9,7.600994631258685,1866255.0,19.0,3.0,4,1,0,1,3,150
24,4.9,7.562982485200135,1850410.0,18.0,0.0,1,3,1,1,9,110
30,4.1,11.007734763744617,1838890.0,23.0,0.0,4,2,0,1,2,215
35,4.8,13.829314445199353,1884970.0,17.0,4.0,4,3,0,1,8,240
33,4.5,13.969116967730173,1883535.0,23.0,4.0,1,2,2,1,6,95
39,4.7,10.92326745824626,1910885.0,18.0,0.0,5,3,0,0,3,105
31,4.3,12.117036432265502,1854730.0,21.0,4.0,5,1,0,1,9,220
37,4.5,1.5525704156536744,1866255.0,8.0,3.0,5,2,1,1,11,130
37,4.7,4.663566689152146,1844645.0,22.0,4.0,5,2,1,1,10,26
33,5.0,1.5294972211332267,1863365.0,11.0,5.0,5,0,0,1,2,155
24,4.6,9.435201537430714,1880655.0,23.0,0.0,1,2,1,0,10,19
33,4.5,11.916757259074618,1887845.0,19.0,2.0,0,1,1,1,12,90
39,4.7,10.486117701549256,1908015.0,18.0,2.0,4,3,0,1,1,190
37,4.6,13.583078662317007,1848970.0,18.0,1.0,3,3,0,1,9,160
25,4.9,7.6831914051315,1880645.0,22.0,0.0,2,2,1,1,8,85
28,4.8,9.193093962702912,1886405.0,19.0,3.0,4,3,1,0,11,55
38,4.7,6.2178836475581045,1847530.0,13.0,2.0,5,0,0,1,3,155
31,4.6,9.326872529115304,1863370.0,17.0,5.0,5,3,0,1,15,125
25,4.8,9.179538450826048,1869135.0,19.0,1.0,3,1,0,1,8,110
35,4.9,10.880651848535559,1887845.0,21.0,2.0,4,1,0,1,15,215
39,4.7,10.565262855251525,1846090.0,19.0,3.0,4,1,0,1,13,210
38,3.9,12.100062421152574,1882090.0,19.0,6.0,1,1,0,1,12,210
35,4.7,4.657159718107683,1860490.0,21.0,0.0,4,1,0,1,5,170
29,4.7,2.9812178551917965,1889295.0,9.0,1.0,2,2,0,1,2,85
27,4.6,4.56126563284071,1856165.0,20.0,3.0,1,1,1,1,14,125
38,4.3,13.989916877275611,1840330.0,21.0,0.0,2,1,0,2,0,270
36,4.9,10.64228895373868,1887855.0,23.0,2.0,5,2,0,1,1,105
26,4.0,6.147404652636645,1844650.0,15.0,4.0,3,0,0,1,5,170
26,4.1,13.428477357470895,1913765.0,19.0,5.0,4,1,0,1,14,180
36,4.9,9.32728515796102,1838890.0,17.0,1.0,0,3,0,1,3,85
21,4.7,1.489792976782627,1886410.0,9.0,3.0,0,2,0,1,1,80
35,4.7,12.418394742110447,1837445.0,20.0,2.0,0,1,2,1,7,135
20,4.5,6.217860689144307,1866245.0,12.0,3.0,4,0,0,1,12,130
23,4.6,13.787803344501583,1846095.0,21.0,3.0,4,1,0,1,13,230
37,5.0,9.080187058763224,1906570.0,19.0,3.0,0,1,0,1,2,145
26,4.8,9.31544163550089,1877765.0,19.0,2.0,2,1,0,1,6,115
29,5.0,12.161417162421785,1851855.0,22.0,6.0,2,2,1,0,2,55
26,4.9,16.636875038860897,1854735.0,17.0,4.0,1,3,0,1,7,140
29,4.8,9.19295116708344,1874885.0,19.0,4.0,3,1,0,1,1,125
29,4.7,3.0182264849996012,1886415.0,10.0,3.0,2,2,0,1,5,55
21,4.9,4.395420246829376,1909450.0,18.0,1.0,5,3,1,1,1,130
22,4.3,3.109059104393369,1880655.0,10.0,0.0,1,2,0,1,7,115
31,4.0,11.916582838288104,1864815.0,17.0,4.0,4,3,0,1,12,195
20,4.5,3.116248509790061,1841770.0,8.0,6.0,4,2,0,3,7,55
30,3.9,12.116950608888414,1837455.0,19.0,2.0,1,1,2,1,7,160
36,4.8,10.868263117988388,1882095.0,17.0,6.0,4,3,0,1,6,215
24,4.7,6.218153086065015,1863370.0,15.0,5.0,4,3,1,1,3,65
32,4.7,1.554424975889475,1860490.0,9.0,0.0,5,2,2,1,8,125
25,5.0,9.313017158714828,1863365.0,18.0,5.0,5,3,0,1,0,135
27,4.5,6.147106622705506,1850415.0,15.0,0.0,5,3,1,1,15,145
32,4.1,10.867300462045835,1848975.0,18.0,1.0,2,3,0,1,15,165
23,4.7,6.209259882041872,1866245.0,16.0,3.0,4,3,0,0,10,19
39,4.4,20.18085916835158,1848965.0,18.0,1.0,0,3,0,1,6,165
20,4.8,9.435201537430714,1860485.0,19.0,0.0,4,1,0,1,7,140
20,4.8,11.919755989352295,1884970.0,18.0,4.0,5,3,2,3,3,75
29,4.6,4.494291162003504,1909455.0,20.0,1.0,1,1,1,1,15,145
26,4.9,20.85172635753384,1848965.0,22.0,1.0,1,2,1,1,5,90
25,5.0,1.5605734793807475,1912325.0,10.0,6.0,1,2,0,1,7,70
34,4.7,6.210589610314177,1841775.0,16.0,6.0,5,3,0,1,6,150
31,4.9,6.17528357530834,1912335.0,14.0,6.0,0,0,0,1,4,140
24,4.7,20.44292976252901,1867685.0,20.0,2.0,4,1,0,1,3,195
30,4.9,13.830084721845328,1843215.0,19.0,5.0,3,3,0,1,15,150
36,4.8,19.37374583495492,1861925.0,18.0,6.0,2,3,0,1,7,180
36,4.4,20.857115324129595,1848975.0,23.0,1.0,4,2,0,1,13,185
26,4.7,20.851557402660557,1884965.0,19.0,4.0,3,1,0,1,7,215
30,4.6,16.659963190057415,1851850.0,23.0,6.0,0,2,1,3,7,145
20,4.8,4.717601092054723,1915215.0,18.0,4.0,1,3,1,1,6,125
33,4.7,7.76260023979039,1877775.0,18.0,2.0,4,3,2,0,11,75
34,4.0,13.76685500858734,1873445.0,21.0,5.0,5,1,0,1,0,195
36,4.6,12.293677673573285,1840330.0,23.0,0.0,5,2,0,1,0,100
33,4.6,2.9846372692856606,1915210.0,11.0,4.0,4,2,0,1,7,75
22,4.8,16.78827586251448,1905135.0,22.0,4.0,2,2,0,1,8,80
38,4.7,1.5320227740641719,1863375.0,11.0,5.0,0,2,1,1,0,95
27,4.9,12.421407858787804,1887855.0,23.0,2.0,4,2,1,1,12,100
32,4.8,10.444776155165918,1910890.0,21.0,0.0,0,1,1,1,11,125
26,4.8,12.42075005031367,1851850.0,19.0,6.0,3,1,0,1,13,215
29,4.5,19.659373527443684,1884970.0,22.0,4.0,5,2,0,0,4,75
31,4.5,12.46418980459368,1837455.0,20.0,2.0,0,1,0,0,14,145
28,4.6,6.1462436583934315,1853295.0,12.0,5.0,1,0,0,1,9,70
21,4.8,8.92908688893574,1915205.0,18.0,4.0,0,3,0,1,4,55
21,4.0,7.79036212453358,1850405.0,22.0,0.0,2,2,0,1,0,95
30,4.9,12.580267822400963,1864810.0,23.0,4.0,5,2,0,1,15,145
29,4.7,5.992096714696517,1915205.0,15.0,4.0,3,3,0,0,6,55
20,4.8,1.5297232853100244,1850410.0,11.0,0.0,0,0,0,1,2,70
28,5.0,13.73594217639692,1908010.0,22.0,2.0,5,2,0,0,1,75
25,4.7,10.705559922396555,1867690.0,23.0,2.0,2,2,0,1,10,16
38,4.8,3.1048037532854496,1850405.0,10.0,0.0,1,2,0,1,7,100
39,4.9,4.610073053799191,1886410.0,22.0,3.0,1,2,0,1,14,130
26,4.9,9.122100805601145,1872005.0,17.0,6.0,5,3,1,1,1,130
33,4.4,10.906036622245484,1870575.0,21.0,0.0,5,1,0,0,2,215
24,4.6,9.08801379933047,1889290.0,18.0,1.0,2,3,0,0,13,125
24,4.9,6.232303380306801,1860490.0,15.0,0.0,4,3,0,1,2,140
33,4.5,13.611566722125085,1876335.0,22.0,3.0,1,2,1,1,5,85
35,4.2,13.611428630407849,1861930.0,19.0,6.0,5,1,0,1,6,220
27,4.2,13.763896210757977,1837445.0,20.0,2.0,1,1,0,1,8,165
29,4.5,4.657591594952301,1841765.0,18.0,6.0,0,3,0,1,1,75
34,4.7,19.34348721744278,1913770.0,23.0,5.0,4,2,1,1,15,135
20,4.7,2.9845125598688362,1915215.0,11.0,4.0,3,0,1,1,10,25
29,4.8,6.058876303739157,1838885.0,13.0,1.0,0,0,0,1,6,90
22,4.9,9.088084092164259,1838885.0,18.0,1.0,1,3,1,1,12,105
35,4.9,10.41706579035871,1905135.0,21.0,4.0,3,1,0,1,10,53
32,4.4,17.164833902684475,1913770.0,21.0,5.0,2,1,0,1,12,210
28,4.9,16.11387241182587,1910895.0,21.0,0.0,0,1,0,1,4,100
30,4.7,20.253686339517458,1887850.0,22.0,2.0,4,2,1,1,13,145
22,4.7,17.076258901183188,1840330.0,20.0,0.0,1,1,1,0,1,75
36,4.7,7.79036212453358,1877775.0,18.0,2.0,4,3,0,1,13,150
23,4.8,19.76218981785925,1873445.0,20.0,5.0,5,1,0,1,10,28
22,4.8,3.0250598092773755,1844645.0,10.0,4.0,1,2,0,3,10,19
29,4.5,19.8395614419349,1905130.0,22.0,4.0,2,2,0,1,8,75
34,4.9,17.07559440107296,1857615.0,21.0,2.0,2,1,0,0,5,250
38,4.1,1.5527001159059903,1883525.0,11.0,5.0,1,0,0,1,12,205
35,5.0,11.007734763744617,1851850.0,17.0,6.0,4,3,0,1,14,185
38,4.7,9.435201537430714,1863375.0,21.0,5.0,3,1,1,1,13,140
32,4.3,10.280572823486576,1908015.0,18.0,2.0,3,3,1,1,3,175
20,4.5,10.867300462045835,1887850.0,20.0,2.0,5,1,0,1,13,135
25,4.9,12.417687564200063,1887845.0,21.0,2.0,4,1,0,1,15,215
29,4.5,8.93786088183146,1838890.0,22.0,1.0,4,2,1,3,11,60
32,4.7,6047.919477618646,1912335.0,20.0,6.0,2,1,1,1,0,155
39,4.1,20.44292976252901,1910885.0,21.0,0.0,3,1,0,1,0,195
31,4.4,16.660108123693192,1861925.0,21.0,6.0,1,1,0,0,11,235
37,4.5,7.601385733164932,1874885.0,23.0,4.0,4,2,0,0,7,130
36,4.9,13.183763612802814,1905135.0,17.0,4.0,3,3,2,1,7,155
37,3.8,20.856833724898493,1840330.0,20.0,0.0,2,1,0,1,3,210
38,4.9,6.232373004507649,1877770.0,13.0,2.0,3,0,1,1,4,125
37,4.4,11.90486548713048,1905130.0,22.0,4.0,2,1,0,1,3,195
21,4.9,13.682164847733755,1861930.0,23.0,6.0,4,2,1,3,5,105
35,4.9,4.469362226704516,1853285.0,18.0,5.0,4,3,2,1,4,90
22,4.8,13.40635545530559,1848975.0,20.0,1.0,2,1,1,0,1,110
28,4.8,3.073644027723396,1889295.0,8.0,1.0,4,2,0,1,13,115
39,4.0,20.20658151050797,1864810.0,17.0,4.0,1,3,0,1,8,240
29,4.5,12.419724873245404,1846095.0,22.0,3.0,5,2,1,0,13,65
39,4.6,3.104803710518419,1847530.0,11.0,2.0,2,0,0,1,14,160
25,4.9,20.20631641648197,1882085.0,21.0,6.0,2,1,2,0,12,80
34,5.0,4.6741517745550425,1883525.0,17.0,5.0,3,3,2,0,13,95
22,4.8,3.1053699758611546,1853285.0,9.0,5.0,0,2,0,1,1,90
27,5.0,10.444390862228435,1908010.0,20.0,2.0,5,1,0,1,2,135
28,4.5,10.710903359654202,1873450.0,17.0,5.0,0,3,0,0,0,125
32,5.0,4.674393132741051,1889295.0,18.0,1.0,1,3,1,1,15,155
27,4.6,10.756697879102619,1867685.0,17.0,2.0,0,3,0,1,6,100
35,3.9,12.23656153955492,1848975.0,19.0,1.0,5,1,0,1,4,190
22,4.6,4.663658229921789,1883525.0,23.0,5.0,5,2,0,1,5,95
35,4.7,4.717601092054723,1906570.0,21.0,3.0,0,1,2,1,2,85
30,4.6,1.5148048951935007,1872015.0,10.0,6.0,3,2,0,0,3,120
39,4.8,3.1089883297657854,1872005.0,11.0,6.0,4,0,1,0,6,130
33,4.8,9.219905581616992,1841770.0,18.0,6.0,2,3,0,1,15,140
20,4.7,12.256687342592269,1857605.0,17.0,2.0,2,3,1,0,14,80
20,4.7,4.717601092054723,1889290.0,18.0,1.0,4,3,0,0,14,85
34,4.2,9.326940869812143,1872005.0,23.0,6.0,5,2,0,0,1,120
22,4.7,10.88143182310278,1848975.0,17.0,1.0,5,3,0,1,0,120
37,4.3,2.9802493849187557,1869130.0,11.0,1.0,1,0,1,1,0,170
20,4.8,1.5302594894332384,1877775.0,9.0,2.0,3,2,0,0,5,80
33,4.9,7.601614738321588,1838890.0,22.0,1.0,5,2,0,1,1,130
21,5.0,19.660943947619934,1843205.0,17.0,5.0,4,3,0,1,13,125
33,4.6,10.602417764362079,1876335.0,17.0,3.0,4,3,0,1,0,245
24,4.6,12.41960204102968,1857610.0,18.0,2.0,5,3,2,0,10,24
36,4.7,3.145067434621583,1872010.0,11.0,6.0,2,0,1,1,15,160
30,4.6,4.588898780683796,1880650.0,19.0,0.0,0,3,0,1,10,26
32,4.9,13.829931792649827,1863375.0,23.0,4.0,2,2,1,1,8,120
28,4.6,19.975808791439345,1846085.0,19.0,3.0,1,1,2,1,4,80
21,4.7,19.37374583495492,1840330.0,20.0,0.0,5,1,1,1,13,135
39,4.9,3.052706857073023,1906565.0,11.0,3.0,4,0,0,1,5,125
32,4.7,3.104803710518419,1853290.0,9.0,5.0,3,2,0,1,6,130
20,4.5,9.178605957040862,1850405.0,19.0,0.0,2,1,1,0,13,125
36,5.0,1.4901538808207615,1869125.0,8.0,1.0,4,2,1,0,10,15
28,4.8,3.1053645449072986,1866245.0,11.0,3.0,0,2,1,0,8,90
32,4.5,7.661250453808297,1877765.0,20.0,2.0,4,1,0,1,1,150
39,4.4,17.076258901183188,1843215.0,19.0,5.0,3,1,1,1,4,230
30,4.7,16.72143013885536,1848965.0,22.0,1.0,5,2,0,1,10,24
32,4.4,6.12841937845769,1883525.0,16.0,5.0,2,3,0,1,10,37
23,4.6,13.610877575672198,1848965.0,21.0,1.0,5,1,0,1,13,135
21,4.8,6.1186308844114,1883530.0,15.0,5.0,5,3,1,3,0,135
31,4.2,9.07434222926449,1883530.0,17.0,5.0,5,3,2,1,9,160
37,4.6,3.0589506421330555,1872015.0,11.0,6.0,1,0,2,0,11,140
20,4.5,7.601870282547478,1886405.0,20.0,3.0,2,1,0,1,12,145
28,4.5,1.4899271643865588,1886410.0,10.0,3.0,2,2,0,1,1,135
22,4.9,1.5545816630911855,1856165.0,8.0,3.0,3,2,0,1,0,55
20,4.7,9.219708856174128,1869125.0,17.0,1.0,3,3,0,0,10,13
34,4.8,19.618968653878262,1873445.0,22.0,5.0,5,2,1,1,8,135
38,4.8,6.209259882041872,1872005.0,12.0,6.0,5,0,1,1,6,125
32,4.5,6.036244196933988,1838885.0,12.0,1.0,3,0,0,1,6,135
34,4.9,16.853347148215086,1887850.0,22.0,2.0,0,2,1,1,10,26
33,3.9,13.612594236925657,1879205.0,17.0,1.0,5,3,2,1,7,160
34,4.5,3.025144329113595,1860490.0,10.0,0.0,5,2,0,1,7,125
32,4.6,4.717601092054723,1856175.0,21.0,3.0,1,1,0,1,12,160
34,4.7,7.7725232004434295,1874895.0,19.0,4.0,0,1,0,1,3,145
26,4.6,10.641436955070953,1876325.0,19.0,3.0,3,1,1,1,7,160
